timestamp,project_name,run_id,experiment_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud,pue
2025-04-24T15:36:29,codecarbon,9b38e11a-aea4-42a9-9e3c-b7289c81b0a3,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,0.6294361000000208,2.782082355444581e-06,4.419959953749855e-06,112.0,0.0,10.0,1.951980488888997e-05,0,1.71746499999996e-06,2.123726988888993e-05,Spain,ESP,,gcp,europe-southwest1,Windows-10-10.0.19045-SP0,3.9.19,3.0.0,8,11th Gen Intel(R) Core(TM) i5-1145G7 @ 2.60GHz,,,,,15.391971588134766,machine,Y,1.0
2025-04-24T15:44:07,codecarbon,f4fb5ca4-da62-44d0-92b8-33d227539f2a,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,0.6159448000000793,2.7154193374447817e-06,4.408543326357219e-06,112.0,0.0,10.0,1.905379466666899e-05,0,1.6745972222224735e-06,2.0728391888891464e-05,Spain,ESP,,gcp,europe-southwest1,Windows-10-10.0.19045-SP0,3.9.19,3.0.0,8,11th Gen Intel(R) Core(TM) i5-1145G7 @ 2.60GHz,,,,,15.391971588134766,machine,Y,1.0
2025-04-24T16:01:37,codecarbon,d3f9ccda-9435-4562-a183-bef52ccfc100,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,0.4669604000000618,2.061461478832781e-06,4.414638754876235e-06,112.0,0.0,10.0,1.4467627999996089e-05,0,1.2687191666663643e-06,1.5736347166662452e-05,Spain,ESP,,gcp,europe-southwest1,Windows-10-10.0.19045-SP0,3.9.19,3.0.0,8,11th Gen Intel(R) Core(TM) i5-1145G7 @ 2.60GHz,,,,,15.391971588134766,machine,Y,1.0
2025-04-24T16:01:42,codecarbon,edd49ee3-d1fe-4df9-9bea-b2737a8e9322,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,1.2974606000000222,5.744297272499679e-06,4.427338504536925e-06,112.0,0.0,10.0,4.027669333333102e-05,0,3.5729041666665275e-06,4.3849597499997545e-05,Spain,ESP,,gcp,europe-southwest1,Windows-10-10.0.19045-SP0,3.9.19,3.0.0,8,11th Gen Intel(R) Core(TM) i5-1145G7 @ 2.60GHz,,,,,15.391971588134766,machine,Y,1.0
2025-04-24T16:02:25,codecarbon,9e7e5557-144a-415b-9ca4-10ca73ab142a,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,39.39167789999965,0.0001747253084673,4.435589387963879e-06,112.0,0.0,10.0,0.0012245405106666,0,0.0001092404699999,0.0013337809806666,Spain,ESP,,gcp,europe-southwest1,Windows-10-10.0.19045-SP0,3.9.19,3.0.0,8,11th Gen Intel(R) Core(TM) i5-1145G7 @ 2.60GHz,,,,,15.391971588134766,machine,Y,1.0
2025-04-24T16:32:33,codecarbon,4bc0a7ce-6cb0-4f10-85a7-ae23ea2593a9,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,0.58447840000008,2.583912840499961e-06,4.420886794960443e-06,112.0,0.0,10.0,1.812889244444402e-05,0,1.5956330555556836e-06,1.9724525499999706e-05,Spain,ESP,,gcp,europe-southwest1,Windows-10-10.0.19045-SP0,3.9.19,3.0.0,8,11th Gen Intel(R) Core(TM) i5-1145G7 @ 2.60GHz,,,,,15.391971588134766,machine,Y,1.0
2025-04-24T16:32:45,codecarbon,fb59409d-03bd-4850-9f83-1291a0af80df,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,0.5318603999999141,2.3453073008343554e-06,4.409629483290605e-06,112.0,0.0,10.0,1.646039111111855e-05,0,1.4427180555559163e-06,1.7903109166674467e-05,Spain,ESP,,gcp,europe-southwest1,Windows-10-10.0.19045-SP0,3.9.19,3.0.0,8,11th Gen Intel(R) Core(TM) i5-1145G7 @ 2.60GHz,,,,,15.391971588134766,machine,Y,1.0
2025-04-24T16:32:53,codecarbon,6e00ca3a-9dad-496d-8932-494c99f279e5,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,0.4730511000002479,2.0843541436672584e-06,4.406192362022127e-06,112.0,0.0,10.0,1.46319631111146e-05,0,1.279137222223249e-06,1.591110033333785e-05,Spain,ESP,,gcp,europe-southwest1,Windows-10-10.0.19045-SP0,3.9.19,3.0.0,8,11th Gen Intel(R) Core(TM) i5-1145G7 @ 2.60GHz,,,,,15.391971588134766,machine,Y,1.0
2025-04-24T16:33:43,codecarbon,fdd68c73-1a6b-4fa3-b5ae-691235c0f273,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,46.21084289999999,0.0001951571664802,4.223189931907175e-06,112.0,0.0,10.0,0.0013689225946666,0,0.0001208267677777,0.0014897493624444,Spain,ESP,,gcp,europe-southwest1,Windows-10-10.0.19045-SP0,3.9.19,3.0.0,8,11th Gen Intel(R) Core(TM) i5-1145G7 @ 2.60GHz,,,,,15.391971588134766,machine,Y,1.0
2025-04-24T16:34:05,codecarbon,10af2355-2aed-4bcb-a75e-3e1b540527dd,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,1.3008882999997695,5.766379403944288e-06,4.432647602369327e-06,112.0,0.0,10.0,4.0427849777776525e-05,0,3.590313611111166e-06,4.401816338888769e-05,Spain,ESP,,gcp,europe-southwest1,Windows-10-10.0.19045-SP0,3.9.19,3.0.0,8,11th Gen Intel(R) Core(TM) i5-1145G7 @ 2.60GHz,,,,,15.391971588134766,machine,Y,1.0
